Catalyst,Hydrothermal synthesis time (min),Energy Band gap (Eg) eV,C (At%),O (At%),Fe (At%),Al (At%),Ni (At%),Mo (At%),S (At%),Bi,Ag,Pd,Pt,Surface area (m2/g),Pore volume (cm3/g),Pore size (nm),volume (L),loading (g),Catalyst_loading_mg,Light intensity (watt),Light source distance (cm),Time (m),Dye,Dye concentration (mg/L),Solution pH,Ci,HA (mg/L),Anions,log_Kw,hydrogen_bonding_acceptor_count,hydrogen_bonding_donor_count,solubility (g/L),molecular_wt (g/mol),Cf,Efficiency
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,150,Indigo,20,5,19.03448276,0,0,3.0606,9,2,10,466.36,12.64367816,33.57487923
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,150,Indigo,20,5,19.03448276,0,0,3.0606,9,2,10,466.36,12.18390805,35.99033816
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,150,Indigo,20,5,19.03448276,0,0,3.0606,9,2,10,466.36,12.87356322,32.36714976
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,150,Indigo,20,7,19.03448276,0,0,3.0606,9,2,10,466.36,11.70114943,38.52657005
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,150,Indigo,20,7,19.03448276,0,0,3.0606,9,2,10,466.36,11.44827586,39.85507246
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,150,Indigo,20,7,19.03448276,0,0,3.0606,9,2,10,466.36,11.01149425,42.14975845
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,150,Indigo,20,9,19.03448276,0,0,3.0606,9,2,10,466.36,11.67816092,38.647343
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,150,Indigo,20,9,19.03448276,0,0,3.0606,9,2,10,466.36,11.87448276,37.61594203
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,150,Indigo,20,9,19.03448276,0,0,3.0606,9,2,10,466.36,11.39135632,40.15410628
LTH,300,3.03,39.85,39.84,6.08,6.76,7.47,0,0,0,0,0,0,140,0.269,8.29,0.02,0.02,20,105,9,150,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,11.56321839,39.25120773
